,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,BorderlineSMOTE,ADASYN,A-SUWO,G-SMOTE,ASRDO,RBU,ENU,SMOTE-ENN,CCR,NCLHS,None,SMOTE,BorderlineSMOTE,ADASYN,A-SUWO,G-SMOTE,ASRDO,RBU,ENU,SMOTE-ENN,CCR,NCLHS,None,SMOTE,BorderlineSMOTE,ADASYN,A-SUWO,G-SMOTE,ASRDO,RBU,ENU,SMOTE-ENN,CCR,NCLHS,None,SMOTE,BorderlineSMOTE,ADASYN,A-SUWO,G-SMOTE,ASRDO,RBU,ENU,SMOTE-ENN,CCR,NCLHS
abalone-20_vs_8-9-10,50,72.44,58.14,60.78,49.91,81.55,80.32,70.83,50,66.05,72.52,98.86,50,65.23,81.3,56.56,58.25,50,58.61,50.18,50,87.43,67.25,87.01,55.86,41.56,38.4,39.81,44.71,76.27,73.13,75.83,66.4,50,41.21,76.57,50,88.58,88.31,80.05,66.23,94.38,63.09,74.43,50,79.26,88.14,85.94
abalone19,50,48.67,49,49.92,49.96,59.19,48.35,63.71,49.96,47.15,48.75,66.16,50,49.96,51.9,55.11,49.72,50,50,50,50,49.4,49.44,66.16,53.75,50,57.69,50,50,53.07,52.34,70.68,53.1,49.76,50,50,50,49.76,49.6,49.76,59.19,52.34,67.28,67.36,50,49.72,49.72,76.3
abalone9-18,49.29,54.05,54.05,56.43,55.24,60.24,68.81,62.62,60.48,73.1,54.76,63.33,59.76,62.86,54.76,68.81,50.95,51.43,54.29,50,73.57,64.52,60,81.19,65,64.76,65.71,64.52,64.52,54.29,64.29,60.48,64.29,64.76,64.52,66.9,58.81,63.81,67.14,62.62,63.1,70.48,66.19,77.38,65.71,68.1,68.57,73.1
car-good,52,89.24,89.14,92.46,88.26,87.55,96.36,90.49,50,90.23,90.94,89.12,91.49,85.09,90.89,97.98,89.6,60.32,76.01,97.98,87.49,90.38,91.09,81.3,96.46,96.46,96.46,96.46,96.46,81.78,96.46,50,96.46,96.46,96.46,96.46,93.39,95.09,95.09,96.99,89.19,89.78,91.19,92.61,93.29,94.48,95.09,92.96
dermatology-6,100,100,100,100,100,98.99,100,100,100,100,100,100,100,100,100,100,94.44,92.42,100,100,100,100,100,100,78.79,83.33,83.33,79.29,83.33,61.11,78.28,88.89,78.79,83.33,80.3,78.79,100,100,100,100,100,90.4,100,100,100,100,100,100
flare-F,50,60.23,60.23,60.39,66.61,84.36,49.84,76.19,60.88,73,64.23,58.17,50,67.75,67.26,65.96,67.1,69.97,50,33.55,63.91,75.27,68.07,74.13,80.36,88.15,84.36,84.25,75.27,50,80.36,49.84,86.53,86.09,83.98,84.15,50,70.13,70.62,70.45,80.84,41.88,50,69.81,65.69,77.49,70.45,62.01
glass-0-1-6_vs_2,50,56.16,55.18,54.2,50,48.88,54.2,58.68,50,62.32,58.4,60.64,50,66.53,55.18,43.28,50,50,50,71.99,50,50,61.34,80.11,49.02,50,50,50,50,52.94,50,52.66,48.04,50,50,50,50,55.04,56.02,51.12,54.76,57.42,50,55.18,50,58.26,53.08,58.26
glass4,98.41,95.24,94.44,92.86,98.41,64.29,93.65,94.44,72.62,95.24,94.44,95.24,70.24,96.03,75,72.62,67.86,68.25,65.08,96.03,43.65,72.62,50,95.24,65.87,67.46,69.84,65.87,86.51,50,53.17,50.79,64.29,66.67,67.46,73.02,74.21,75,75,75,96.83,67.06,71.83,72.62,97.62,98.41,75,98.41
kddcup-buffer_overflow_vs_back,100,100,100,100,100,51.52,100,100,100,100,100,100,100,100,100,100,100,100,99.7,100,100,100,100,100,100,100,100,100,100,50,100,50,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,100
