,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS
abalone-20_vs_8-9-10,0,5.97,3.81,5.33,0,5.41,5.08,3.49,0,26.67,6.02,48,0,3.7,7.75,3.25,25,2.07,2.48,2.07,0,7.74,4.15,15.63,3.05,0,0,0,1.23,4.26,4.5,4.18,36.36,0,0,9.2,0,8.45,8.28,5.02,30.77,15.79,2.78,3.96,0,4.84,8.16,6.98
abalone19,0,0,0,0,0,3.03,0,1.95,0,0,0,2.09,0,0,1.98,9.52,0,1.43,1.43,1.43,0,0,0,2.09,3.64,0,4.17,0,0,1.9,2.22,2.99,2.82,0,0,0,0,0,0,0,3.03,2.22,5.88,2.17,0,0,0,6.32
abalone9-18,0,10.17,10.17,12.24,12.5,11.19,14.95,12.03,18.75,20.9,10.71,15.62,14.04,12.73,10.71,24.39,8,8.91,9.52,8.7,18.39,14.81,14.29,23.38,13.86,13.73,14.29,13.59,13.59,9.52,12.7,11.27,13.46,13.73,13.59,16.9,23.53,20,20.83,17.78,18.6,14.75,13.56,22.54,25,18.18,23.81,26.67
car-good,7.69,46.81,46.32,55.42,50.6,28.9,58.14,34.72,0,43.81,46.94,39.66,82.35,69.23,73.68,71.43,81.63,11.31,17.42,71.43,77.55,67.74,76.36,30.53,58.82,58.82,58.82,58.82,58.82,21.74,58.82,0,58.82,58.82,58.82,58.82,83.02,80.7,80.7,81.36,75.47,33.11,36.5,40.65,81.48,73.02,80.7,58.97
dermatology-6,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,94.12,76.19,100,100,100,100,100,100,50,80,80,52.17,80,18.95,48,87.5,50,80,57.14,50,100,100,100,100,100,48.65,100,100,100,100,100,100
flare-F,0,20.69,20.69,21.43,23.26,29.85,0,25,24,24.56,25.81,26.67,0,27.78,25.64,21.28,25,24.49,0,4.67,24.24,32.56,29.41,28,16.55,24.74,29.85,19.83,16.26,7.23,16.55,0,22.43,26.51,22.92,23.16,0,25,26.67,26.09,29.03,4.23,0,24,36.36,28.57,26.09,33.33
glass-0-1-6_vs_2,0,22.22,20,18.18,0,18.18,18.18,26.09,0,36.36,26.67,28.57,0,40,20,17.02,0,21.54,0,38.46,0,0,33.33,46.15,0,0,0,0,0,22.58,0,22.22,0,0,0,0,0,22.86,23.53,20.51,22.22,25,0,20,0,25,21.62,25
glass4,66.67,40,36.36,30.77,66.67,8.16,33.33,36.36,33.33,40,36.36,40,22.22,44.44,66.67,33.33,16.67,9.09,8.33,44.44,0,33.33,0,40,8.51,8.89,9.52,8.51,19.05,5.97,6.35,6.06,8.16,8.7,8.89,10.53,50,66.67,66.67,66.67,50,15.38,28.57,33.33,57.14,66.67,66.67,66.67
kddcup-buffer_overflow_vs_back,100,100,100,100,100,3.63,100,100,100,100,100,100,100,100,100,100,100,100,85.71,100,100,100,100,100,100,100,100,100,100,3.52,100,3.52,100,100,100,100,100,100,100,100,100,3.52,100,100,100,100,100,100
