,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS,None,SMOTE,BorderlineSMOTE,A-SUWO,FW-SMOTE,G-SMOTE,ASRDO,RBU,ENU,SMOTE-IPF,CCR,HDHS
abalone-20_vs_8-9-10,0,72.15,52.42,54.05,0,79.67,78.13,65.01,0,57.18,72.23,98.86,0,65.23,81.29,51.41,40.61,10.22,42.53,11.8,0,86.68,67.24,86.89,50.96,0,0,0,34.68,72.83,72.53,72.23,57.38,0,0,75.83,0,87.97,87.68,77.8,57.28,94.27,51.92,70.28,0,76.78,87.48,84.96
abalone19,0,0,0,0,0,53.13,0,52.85,0,0,0,57.27,0,0,31.99,33.08,0,8.48,8.48,8.48,0,0,0,57.27,32.62,0,45.38,0,0,43.07,32.14,70.38,32.4,0,0,0,0,0,0,0,53.13,32.14,63.17,59.33,0,0,0,75.63
abalone9-18,0,47.72,47.72,49.13,41.78,58.15,68.49,61.2,51.43,72.89,48.15,61.42,55.76,62.81,48.15,65.54,39.77,38.38,49.73,21.32,73.61,64.17,55.92,81.16,65.05,64.81,65.78,64.56,64.56,49.73,63.25,58.47,64.31,64.81,64.56,66.26,43.38,58.47,64.31,57.68,58,68.89,65.51,77.46,59.7,67.29,65.37,71.41
car-good,19.53,89.18,89.08,92.43,87.96,87.35,96.47,90.49,0,90.3,90.98,89.21,90.85,83.53,90.32,98.05,88.66,49.47,73.71,98.05,86.25,89.87,90.5,81.22,96.57,96.57,96.57,96.57,96.57,80.82,96.57,0,96.57,96.57,96.57,96.57,92.99,94.89,94.89,96.94,88.32,89.74,91.23,92.7,92.9,94.33,94.89,92.91
dermatology-6,100,100,100,100,100,99.07,100,100,100,100,100,100,100,100,100,100,93.84,92.07,100,100,100,100,100,100,76.98,80.51,80.51,77.38,80.51,53.58,76.58,87.37,76.98,80.51,78.17,76.98,100,100,100,100,100,90.78,100,100,100,100,100,100
flare-F,0,48.17,48.17,48.25,61.13,84.32,0,75.28,48.49,71.06,55.62,40.12,0,61.87,61.56,60.7,61.45,66.5,0,24.9,55.43,72.83,62.08,71.95,78.86,87.86,84.32,83.48,75.17,19.36,78.86,0,86.06,86.14,83.95,84.12,0,66.61,66.97,66.85,80.43,37.91,0,66.38,56.46,76.38,66.85,49.05
glass-0-1-6_vs_2,0,35.44,35.09,34.74,0,47.86,34.74,55.04,0,50.12,48.12,56.37,0,60.17,35.09,43.27,0,34.74,0,71.92,0,0,49.63,80.64,0,0,0,0,0,41.52,0,48.63,0,0,0,0,0,55.26,56.15,51.58,52.29,47.6,0,35.09,0,58.72,53.45,58.72
glass4,98.45,95.27,94.46,92.82,98.45,55.47,93.64,94.46,68.5,95.27,94.46,95.27,66.79,96.08,70.16,68.5,65.04,62.02,56.84,96.08,0,68.5,0,95.27,58.18,60.76,64.45,58.18,85.93,17.54,30.38,21.48,55.47,59.48,60.76,69.06,69.61,70.16,70.16,70.16,96.87,64.45,67.94,68.5,97.67,98.45,70.16,98.45
kddcup-buffer_overflow_vs_back,100,100,100,100,100,21.85,100,100,100,100,100,100,100,100,100,100,100,100,99.7,100,100,100,100,100,100,100,100,100,100,13.38,100,13.38,100,100,100,100,100,100,100,100,100,13.38,100,100,100,100,100,100
kr-vs-k-zero_vs_eight,100,99.31,99.31,98.74,99.89,89.26,98.62,97.92,100,99.31,99.31,99.89,100,99.77,89.03,79.85,99.77,15.11,92.9,99.43,99.89,99.66,99.77,99.77,88.01,88.6,88.6,88.6,88.83,34.79,88.01,0,88.01,88.6,88.6,88.6,88.93,99.54,99.54,99.89,99.89,15.11,99.08,94.96,88.93,99.54,99.54,100
shuttle-c0-vs-c4,100,27.99,25.61,100,38.41,22.98,22.98,38.41,100,27.33,27.66,25.61,99.82,99.82,99.54,99.82,99.54,22.98,72.93,99.82,99.82,99.82,99.54,99.54,22.98,22.98,22.98,22.98,22.98,22.98,22.98,22.98,22.98,22.98,22.98,22.98,100,100,100,100,100,34.41,41.38,99.09,100,100,100,99.91
yeast-1-2-8-9_vs_7,31.06,30.26,30.78,30.55,30.95,64.56,41.72,42.71,31.12,29.91,42.96,67.54,43.61,51.91,52.11,52.52,30.78,20.52,43.61,21.36,43.69,30.32,56.32,78.36,34.54,45.65,41.04,38.39,32.98,31.06,43.16,43.69,35.04,46.26,45.65,44.72,0,30.32,30.44,42.05,30.55,65.1,43.37,39.74,0,42.8,30.44,57.19
